2022-04-20 05:52:26 status unpacked libsm6:amd64 2:1.2.3-1
2022-04-20 05:52:27 install libsm-dev:amd64 <none> 2:1.2.3-1
2022-04-20 05:52:27 status half-installed libsm-dev:amd64 2:1.2.3-1
2022-04-20 05:52:27 status unpacked libsm-dev:amd64 2:1.2.3-1
2022-04-20 05:52:27 install libsqlite3-dev:amd64 <none> 3.27.2-3+deb10u1
2022-04-20 05:52:27 status half-installed libsqlite3-dev:amd64 3.27.2-3+deb10u1
2022-04-20 05:52:27 status unpacked libsqlite3-dev:amd64 3.27.2-3+deb10u1
2022-04-20 05:52:27 install libssl-dev:amd64 <none> 1.1.1n-0+deb10u1
2022-04-20 05:52:27 status half-installed libssl-dev:amd64 1.1.1n-0+deb10u1
2022-04-20 05:52:27 status unpacked libssl-dev:amd64 1.1.1n-0+deb10u1
2022-04-20 05:52:27 install libtcl8.6:amd64 <none> 8.6.9+dfsg-2
2022-04-20 05:52:27 status half-installed libtcl8.6:amd64 8.6.9+dfsg-2
2022-04-20 05:52:27 status unpacked libtcl8.6:amd64 8.6.9+dfsg-2
2022-04-20 05:52:27 install libxau6:amd64 <none> 1:1.0.8-1+b2
2022-04-20 05:52:27 status half-installed libxau6:amd64 1:1.0.8-1+b2
2022-04-20 05:52:27 status unpacked libxau6:amd64 1:1.0.8-1+b2
2022-04-20 05:52:27 install libxdmcp6:amd64 <none> 1:1.1.2-3
2022-04-20 05:52:27 status half-installed libxdmcp6:amd64 1:1.1.2-3
2022-04-20 05:52:27 status unpacked libxdmcp6:amd64 1:1.1.2-3
2022-04-20 05:52:27 install libxcb1:amd64 <none> 1.13.1-2
